"genre" "spec" "secteur" "nbpatients" "moins16" "60a69" "plus70" "honor"
"Femme" "Médicale" "1" 506 6.72 6.92 2.77 103.03
"Homme" "Médicale" "1" 3265 17.86 7.32 6.98 272.46
"Homme" "Médicale" "1" 7269 8.38 12.75 20.54 567.31
"Homme" "Médicale" "1" 1793 74.07 0.17 0.61 112.62
"Homme" "Médicale" "1" 1065 8.92 15.12 34.08 101.46
"Homme" "Médicale" "1" 1375 4.8 19.64 39.85 225.18
"Homme" "Médicale" "1" 1195 0.25 20.75 49.21 196.55
"Femme" "Mixte" "1" 1707 0.7 4.57 2.64 71.42
"Femme" "Médicale" "1" 1300 0.92 23 41.08 82.97
"Homme" "Mixte" "2" 2409 0.66 5.02 1.91 122.1
"Homme" "Médicale" "1" 1143 7.09 10.32 8.66 185
"Homme" "Mixte" "2" 1824 27.03 12.34 18.04 114.71
"Homme" "Médicale" "1" 2830 10.6 15.65 22.51 212.5
"Homme" "Mixte" "1" 4466 30.9 7.93 7.9 174.68
"Homme" "Mixte" "1" 2661 22.1 13.08 18.68 131.09
"Homme" "Médicale" "1" 469 3.84 4.48 2.77 149.99
"Homme" "Médicale" "1" 2235 17.94 14.05 22.77 135.82
"Femme" "Médicale" "1" 1752 82.76 0.06 0.51 118.65
"Homme" "Médicale" "1" 1261 1.27 23.39 32.99 271.5
"Homme" "Médicale" "1" 5968 8.85 16.94 25.7 638.21
"Homme" "Médicale" "1" 1087 7.36 17.2 33.67 79.36
"Femme" "Médicale" "2" 2265 10.51 9.32 12.94 85.42
"Homme" "Médicale" "1" 573 0.52 9.08 6.46 119.97
"Homme" "Médicale" "1" 4420 3.46 22.42 34.34 977.64
"Homme" "Médicale" "1" 964 76.66 0.1 0.31 75.9
"Homme" "Médicale" "1" 3289 70.29 0.06 0.82 161.17
"Femme" "Médicale" "1" 2108 21.02 6.45 5.27 78.9
"Femme" "Mixte" "1" 1610 2.11 11.24 5.4 47.1
"Femme" "Médicale" "1" 983 1.22 16.28 61.24 172.76
"Femme" "Mixte" "1" 1848 18.51 13.96 18.24 103.09
"Homme" "Mixte" "1" 1489 17.39 25.52 20.35 142.05
"Homme" "Mixte" "2" 1928 23.86 10.63 12.81 135.16
"Homme" "Médicale" "1" 466 1.07 6.65 3.22 126.93
"Femme" "Médicale" "1" 579 1.38 10.71 8.29 177.22
"Femme" "Médicale" "1" 2649 11.55 12.65 21.37 190.1
"Femme" "Médicale" "1" 276 1.45 21.38 45.65 79.87
"Homme" "Médicale" "1" 1180 1.27 19.66 30.59 133.86
"Femme" "Médicale" "1" 751 27.96 11.72 12.78 79.96
"Femme" "Médicale" "1" 858 69.46 0 2.21 68.32
"Femme" "Médicale" "1" 586 72.35 0 0.51 35.82
"Femme" "Médicale" "1" 922 81.24 0.22 2.06 56.54
"Homme" "Médicale" "1" 21 14.29 9.52 4.76 9.57
"Homme" "Médicale" "1" 965 1.45 23.01 36.68 103.97
"Homme" "Médicale" "1" 272 1.1 5.88 7.72 122.71
"Femme" "Médicale" "1" 435 0.92 9.66 10.34 103.16
"Homme" "Médicale" "1" 3222 60.61 0.16 0.78 125.32
"Homme" "Médicale" "1" 1517 1.65 22.21 25.12 150.93
"Homme" "Médicale" "1" 208 1.92 3.37 3.37 33.82
"Homme" "Mixte" "1" 2022 15.08 13.6 19.83 99.58
"Femme" "Mixte" "1" 2709 18.79 11.89 20.01 82.96
"Homme" "Médicale" "1" 7257 11.42 16.43 19.75 565.17
"Homme" "Mixte" "1" 1785 1.51 3.14 2.07 105.15
"Femme" "Médicale" "1" 76 1.32 2.63 0 19.23
"Homme" "Médicale" "1" 2525 9.43 15.49 24.79 171.77
"Femme" "Médicale" "1" 1262 81.62 0.08 0.48 61.53
"Homme" "Mixte" "1" 4112 9.51 14.37 24.44 165.62
"Femme" "Médicale" "1" 906 1.66 24.5 31.68 63.09
"Femme" "Médicale" "1" 2165 10.53 6.33 7.34 91.63
"Homme" "Médicale" "1" 892 1.12 25.34 44.17 171.58
"Homme" "Médicale" "1" 2040 4.02 17.89 20.34 178.76
"Femme" "Médicale" "1" 531 0.94 13.56 15.82 108.5
"Homme" "Médicale" "1" 1784 1.23 22.81 50.67 169.09
"Femme" "Médicale" "1" 91 15.38 4.4 4.4 58.25
"Femme" "Médicale" "1" 4264 21.01 5.07 4.95 148.19
"Homme" "Médicale" "2" 2620 2.4 12.48 8.13 162.04
"Homme" "Médicale" "1" 1453 20.37 15.55 20.44 90.21
"Homme" "Médicale" "1" 822 2.19 14.84 19.22 145.31
"Femme" "Mixte" "1" 1313 0.53 2.51 1.9 54.07
"Femme" "Médicale" "1" 2041 0.34 38.36 34.3 117.61
"Femme" "Médicale" "1" 1391 2.73 13.37 21.85 86.91
"Homme" "Médicale" "1" 3162 1.14 23.69 38.65 271.6
"Homme" "Médicale" "1" 2713 17.8 5.09 6.19 157.25
"Homme" "Médicale" "1" 3363 15.31 11.89 15.19 125.7
"Homme" "Chirurgicale" "1" 1264 0.63 16.38 18.2 112.13
"Femme" "Mixte" "1" 2531 2.02 6.6 2.17 95.88
"Homme" "Médicale" "1" 1498 2.34 20.29 30.97 166.39
"Homme" "Chirurgicale" "1" 1407 0.64 10.66 11.02 256.3
"Femme" "Mixte" "1" 1622 15.1 9.06 15.17 47.39
"Homme" "Chirurgicale" "2" 2431 10.98 10.74 15.06 283.09
"Homme" "Médicale" "1" 1490 1.88 20.54 31.95 178.34
"Femme" "Médicale" "1" 1014 3.25 13.71 9.47 40.77
"Homme" "Mixte" "1" 3146 20.03 9.28 16.88 199.61
"Homme" "Médicale" "1" 2143 2.52 22.45 47.55 191.63
"Femme" "Mixte" "1" 1770 0.9 3.56 3.45 77.58
"Femme" "Médicale" "1" 207 6.76 13.04 6.28 33.11
"Femme" "Mixte" "1" 1597 1.82 2.88 1.82 62.89
"Homme" "Chirurgicale" "1" 784 11.22 16.58 30.61 97.82
"Homme" "Médicale" "1" 2068 13.25 14.99 31.77 199.25
"Homme" "Médicale" "1" 2322 0.47 19.38 32.6 123.65
"Homme" "Médicale" "1" 5624 8 16.11 27.99 475.45
"Homme" "Mixte" "1" 3954 23.7 11.2 13.81 176.52
"Homme" "Mixte" "1" 1580 1.33 3.73 3.23 142.63
"Homme" "Médicale" "1" 1022 3.42 20.84 14.58 93.8
"Homme" "Médicale" "1" 1805 14.96 11.69 18.06 61.27
"Homme" "Médicale" "2" 2434 11.5 9.12 11.26 124.47
"Femme" "Mixte" "1" 3259 18.72 10.52 14.27 102.27
"Homme" "Médicale" "2" 2389 3.68 15.95 14.78 129.57
"Femme" "Médicale" "1" 1331 27.65 6.31 5.86 59.54
"Femme" "Médicale" "1" 1927 80.38 0.1 1.09 106.2
"Homme" "Médicale" "1" 1815 2.26 22.26 23.47 100.13
"Femme" "Mixte" "1" 2914 1.37 5.63 2.61 81.73
"Homme" "Médicale" "1" 3907 1.97 23.24 28.87 1262.47
"Homme" "Médicale" "1" 132 0.76 9.09 3.03 49.16
"Homme" "Médicale" "1" 4631 19.63 11.64 14.64 341.06
"Femme" "Mixte" "1" 847 1.42 3.07 1.65 38.3
"Homme" "Médicale" "1" 1170 3.42 20.68 31.62 207.37
"Homme" "Médicale" "1" 4273 5.24 16.34 20.83 241.65
"Homme" "Médicale" "1" 2595 9.94 15.26 24.2 170.98
"Femme" "Médicale" "1" 2688 21.54 8.41 11.12 108.97
"Femme" "Médicale" "1" 1529 1.37 29.56 40.42 313.98
"Homme" "Médicale" "1" 1032 1.94 11.82 14.63 125.94
"Femme" "Mixte" "1" 3955 14.16 13.17 19.95 278.56
"Femme" "Médicale" "1" 2054 0.24 13.19 13.83 170.25
"Homme" "Médicale" "1" 259 19.69 1.93 1.93 82.62
"Homme" "Chirurgicale" "2" 1401 19.77 8.14 7.92 196.02
"Homme" "Médicale" "1" 1777 2.42 18.57 28.53 324.62
"Homme" "Médicale" "1" 1390 4.53 17.77 60.43 177.2
"Homme" "Médicale" "1" 4552 15.03 13.31 15.91 176.34
"Homme" "Médicale" "1" 8349 22.55 9.07 6.64 626.45
"Femme" "Médicale" "1" 1310 76.34 0 0.69 97.28
"Homme" "Médicale" "1" 1401 2 14.13 13.78 202.97
"Homme" "Mixte" "2" 5228 10.39 15.26 22.25 436.98
"Femme" "Médicale" "1" 1178 0.42 9.42 5.01 120.57
"Femme" "Médicale" "1" 1092 26.83 5.4 5.77 44.87
"Homme" "Chirurgicale" "1" 1366 6.59 22.04 33.97 187.2
"Homme" "Médicale" "1" 1300 0.77 39.23 21.46 71.59
"Homme" "Chirurgicale" "1" 671 0.15 32.64 41.58 184.19
"Homme" "Médicale" "1" 50 10 8 12 30.17
"Femme" "Médicale" "1" 1275 22.2 9.57 8.16 94.43
"Femme" "Médicale" "1" 2319 5.26 3.97 4.57 170.04
"Femme" "Médicale" "1" 289 42.56 0.69 0.35 60.16
"Homme" "Mixte" "2" 2269 1.81 2.95 2.47 205.09
"Femme" "Mixte" "1" 4757 15.7 12 21.42 175.18
"Femme" "Médicale" "1" 77 0 7.79 5.19 58.75
"Homme" "Médicale" "1" 3940 1.12 16.83 18.81 302.25
"Homme" "Médicale" "1" 2331 3.13 15.27 13.77 190.75
"Femme" "Mixte" "1" 3012 2.22 4.32 2.42 103.78
"Femme" "Médicale" "1" 1357 72.81 0.07 0.66 80.4
"Homme" "Médicale" "1" 264 21.59 3.03 4.55 73.78
"Homme" "Chirurgicale" "1" 968 4.03 17.05 23.97 140.46
"Homme" "Mixte" "2" 2436 16.79 14.78 19.09 188.55
"Homme" "Mixte" "1" 2901 14.51 12.65 15.79 87.68
"Homme" "Médicale" "1" 257 10.51 1.56 1.17 118.55
"Homme" "Médicale" "1" 587 2.73 22.83 20.95 91.08
"Homme" "Médicale" "1" 1338 2.62 10.61 7.17 158.18
"Homme" "Médicale" "1" 1956 2.35 13.75 34.1 197.35
"Femme" "Médicale" "1" 1809 23.66 6.08 9.56 68.62
"Femme" "Mixte" "1" 1434 1.26 2.23 1.81 61.53
"Homme" "Médicale" "1" 2385 4.03 18.99 38.87 205.99
"Femme" "Médicale" "1" 1687 9.19 7.59 8.24 66.45
"Femme" "Médicale" "1" 1945 20.67 6.79 8.43 74.5
"Femme" "Médicale" "1" 781 1.66 14.47 23.18 63.41
"Homme" "Chirurgicale" "1" 1007 12.21 11.62 20.56 135.45
"Femme" "Médicale" "1" 1956 24.74 4.4 3.78 73.37
"Homme" "Médicale" "1" 495 0.81 7.07 5.86 128.86
"Femme" "Mixte" "1" 5519 25.37 6.54 7.7 179.29
"Homme" "Mixte" "1" 2655 19.92 14.88 16.42 94.42
"Homme" "Médicale" "1" 877 1.37 15.62 37.06 236.25
"Femme" "Médicale" "1" 234 4.7 5.13 2.99 33.79
"Femme" "Médicale" "1" 1106 2.44 7.32 5.24 268.21
"Homme" "Médicale" "1" 1670 3.05 28.68 39.46 335.77
"Homme" "Mixte" "1" 3964 19.07 10.37 17.1 238.62
"Homme" "Médicale" "1" 399 1 8.77 5.26 95.36
"Femme" "Médicale" "1" 3673 22.92 9.18 6.83 251.57
"Homme" "Mixte" "2" 2991 1.2 5.55 2.88 201.83
"Homme" "Chirurgicale" "1" 404 1.73 15.35 31.68 82.11
"Homme" "Médicale" "1" 1219 1.64 24.53 30.93 72.8
"Femme" "Médicale" "1" 1004 17.23 4.98 6.67 44.39
"Homme" "Chirurgicale" "2" 1110 0.81 15.14 12.88 173
"Femme" "Médicale" "1" 2645 21.29 9.87 11.12 118.96
"Homme" "Médicale" "1" 1324 0.76 20.77 51.21 88.91
"Homme" "Chirurgicale" "1" 1708 9.48 11.3 15.34 200.88
"Homme" "Mixte" "2" 2304 17.01 13.54 18.58 205.94
"Femme" "Médicale" "1" 1122 0.45 18.98 42.6 41.88
"Homme" "Médicale" "1" 361 38.78 0.83 0.55 79.33
"Homme" "Mixte" "2" 3027 7.63 16.75 36.6 309.53
"Homme" "Chirurgicale" "1" 1750 11.43 13.31 23.43 179.96
"Homme" "Mixte" "1" 3814 23.94 12.14 15.63 211.49
"Homme" "Médicale" "1" 1832 0.6 18.23 22.87 223.78
"Homme" "Chirurgicale" "2" 1034 13.15 12.28 18.67 155.33
"Homme" "Médicale" "1" 2249 6.49 16.85 34.28 181.95
"Homme" "Médicale" "1" 3617 13.66 15.07 21.18 290.55
"Homme" "Médicale" "1" 1049 8.29 8.67 11.92 59.9
"Femme" "Mixte" "1" 3620 14.06 14.03 24.45 116.49
"Homme" "Médicale" "1" 1370 1.09 22.92 46.28 137.65
"Homme" "Médicale" "1" 2125 9.51 18.31 35.95 173.15
"Femme" "Mixte" "2" 4066 12.03 10.28 12.59 169.48
"Homme" "Médicale" "1" 2017 1.19 18.79 26.77 239.13
"Homme" "Mixte" "1" 1654 9.98 19.41 21.89 222.51
"Femme" "Médicale" "1" 635 1.73 12.76 26.3 89.55
"Femme" "Médicale" "1" 918 2.18 22.77 47.71 104.41
"Homme" "Médicale" "1" 3350 5.88 15.28 23.43 260.56
"Femme" "Médicale" "1" 1330 15.19 5.86 6.77 50.68
"Femme" "Mixte" "1" 1867 1.77 9.53 7.18 72.07
"Homme" "Médicale" "1" 1709 2.34 20.42 26.97 117.46
"Femme" "Mixte" "1" 2747 1.38 6.37 3.35 120.07
"Homme" "Mixte" "2" 3248 9.67 15.39 33.44 241.53
"Homme" "Mixte" "2" 2170 0.74 13.5 6.77 195.26
"Homme" "Médicale" "1" 1139 5 10.36 10.71 137.52
"Femme" "Mixte" "2" 2566 8.03 9.04 15.32 85.22
"Homme" "Mixte" "2" 2589 0.81 5.76 2.24 242.27
"Homme" "Médicale" "2" 1847 0.05 30.48 42.12 520.89
"Femme" "Mixte" "1" 1835 1.96 9.43 3.43 77.73
"Femme" "Médicale" "1" 110 0.91 10 6.36 23.46
"Homme" "Médicale" "1" 3114 2.7 10.76 14.39 274.66
"Femme" "Médicale" "1" 357 64.71 0 0.28 57.75
"Homme" "Mixte" "1" 862 11.6 28.89 21.35 104.22
"Femme" "Médicale" "1" 154 4.55 2.6 1.3 55.83
"Femme" "Médicale" "1" 2582 25.02 5.62 4.26 109.64
"Homme" "Chirurgicale" "1" 1711 4.85 26.65 36.65 165.08
"Femme" "Mixte" "1" 979 2.15 10.01 4.6 33.97
"Homme" "Chirurgicale" "2" 2506 18.44 7.46 9.14 332.37
"Homme" "Mixte" "2" 1807 2.16 1.22 2.27 193.66
"Homme" "Médicale" "1" 2161 1.76 19.67 24.53 192.84
"Femme" "Médicale" "1" 1752 18.84 6.62 9.08 83.27
"Homme" "Mixte" "1" 2916 1.71 5.56 2.98 100.21
"Femme" "Médicale" "1" 3158 4.31 13.14 9.37 284.07
"Femme" "Chirurgicale" "1" 936 13.46 6.94 7.05 69.23
"Femme" "Médicale" "1" 3101 2.32 11.09 13.48 164.37
"Homme" "Médicale" "1" 2956 9 16.98 32.48 241.42
"Femme" "Médicale" "1" 197 21.83 2.03 0.51 87.91
"Homme" "Médicale" "1" 4326 16.74 14.49 18.26 315.36
"Homme" "Médicale" "1" 2059 5.49 19.48 28.95 161.2
"Homme" "Mixte" "1" 2188 1.14 2.56 1.51 183.58
"Femme" "Médicale" "1" 2860 18.43 10 11.26 80.64
"Femme" "Médicale" "1" 1001 4.8 11.29 7.69 41.61
"Femme" "Médicale" "1" 479 30.9 11.06 10.65 42.59
"Femme" "Médicale" "1" 1142 9.37 14.19 28.11 114.7
"Homme" "Chirurgicale" "1" 1185 1.1 10.21 6.84 165.94
"Femme" "Mixte" "1" 1979 1.92 7.18 5.86 89.04
"Femme" "Médicale" "1" 1189 8.16 20.52 35.24 122.11
"Homme" "Chirurgicale" "2" 1479 5.07 21.3 32.18 299.97
"Homme" "Mixte" "1" 5828 14.5 16.03 27.52 436.02
"Homme" "Médicale" "1" 885 2.6 20 16.95 112.01
"Femme" "Médicale" "1" 1058 0.47 16.45 20.42 97.94
"Femme" "Médicale" "1" 1141 18.23 11.22 23.84 91.33
"Homme" "Mixte" "1" 2329 12.97 16.23 24.56 67.82
"Homme" "Chirurgicale" "2" 2095 1.05 6.06 4.25 275.39
"Femme" "Médicale" "1" 284 62.68 0.35 0 57.45
"Homme" "Médicale" "1" 2033 3.05 18.79 29.07 157.75
"Homme" "Médicale" "1" 2014 6.8 16.14 27.21 168.76
"Homme" "Médicale" "2" 3829 0.81 17.84 22.9 196.76
"Homme" "Médicale" "1" 916 2.18 15.39 20.96 73.21
"Homme" "Mixte" "2" 2643 1.85 7.04 6.36 316.96
"Femme" "Médicale" "1" 572 61.36 0.7 2.8 19.53
"Homme" "Médicale" "1" 2100 3.57 18.67 29.29 156.22
"Homme" "Médicale" "1" 906 1.21 9.38 6.18 196.04
"Homme" "Médicale" "1" 1720 8.43 13.08 9.3 155.81
"Homme" "Chirurgicale" "2" 2506 40.94 5.79 7.54 202.46
"Homme" "Médicale" "1" 869 1.38 18.76 41.89 82.46
"Femme" "Médicale" "2" 1351 5.11 7.62 5.7 62.24
"Femme" "Mixte" "1" 2087 1.82 7.62 4.55 92.88
"Femme" "Médicale" "1" 989 4.55 17.69 37.21 83.22
"Homme" "Médicale" "1" 907 83.13 0.22 0.55 61.55
"Homme" "Médicale" "1" 1732 0.81 29.39 40.65 332.66
"Homme" "Médicale" "1" 1691 75.28 0.06 1.06 117.52
"Homme" "Médicale" "1" 1682 2.91 22.06 39.89 151.52
"Homme" "Médicale" "1" 186 1.08 10.75 8.06 110.25
"Homme" "Mixte" "1" 3480 17.93 11.32 16.47 148.75
"Homme" "Médicale" "1" 2611 66.07 0.15 1.57 144.82
"Homme" "Médicale" "1" 8820 4.07 16.7 24.41 897.88
"Homme" "Médicale" "1" 204 1.96 1.47 0.98 50.45
"Femme" "Médicale" "2" 1777 3.38 14.46 11.99 129.21
"Homme" "Mixte" "1" 1302 9.29 17.36 31.64 68.04
"Homme" "Médicale" "1" 2644 3.63 19.44 24.96 229.57
"Homme" "Médicale" "1" 471 0.21 10.4 12.74 97.17
"Femme" "Mixte" "1" 6198 17.18 10.66 15.84 168.52
"Homme" "Chirurgicale" "2" 1084 0 19.1 26.29 300.48
"Homme" "Médicale" "2" 1786 0.22 20.83 32.03 205.37
"Femme" "Médicale" "1" 179 0 7.82 6.7 72.54
"Homme" "Médicale" "1" 2753 2.11 20.16 26.08 273.35
"Homme" "Mixte" "1" 1471 0.27 2.58 2.58 144.1
"Femme" "Mixte" "1" 1872 14.32 14.8 16.19 58.7
"Femme" "Mixte" "1" 4671 21.49 8.71 7.62 123.72
"Femme" "Médicale" "2" 1268 3.79 9.62 9.15 89.73
"Femme" "Médicale" "1" 2534 2.01 23.44 25.97 180.38
"Femme" "Mixte" "1" 3121 24.16 8.01 10.57 93.12
"Homme" "Médicale" "1" 1043 1.15 9.01 7.29 306.8
"Femme" "Mixte" "1" 1652 2.6 3.21 2.3 124.22
"Homme" "Médicale" "1" 47 10.64 23.4 21.28 5.11
"Femme" "Médicale" "1" 639 1.25 10.49 59.94 15.12
"Homme" "Médicale" "1" 2119 0.94 22.75 49.5 173.23
"Homme" "Mixte" "1" 1663 3.67 5.65 4.21 87.54
"Femme" "Mixte" "1" 1065 2.07 17.18 6.48 81.87
"Homme" "Médicale" "1" 2656 2.82 20.56 25.9 105.03
"Homme" "Médicale" "1" 555 3.06 8.65 6.49 175.55
"Homme" "Médicale" "1" 944 0.11 32.42 30.19 592.51
"Homme" "Médicale" "1" 1425 2.18 23.37 20.49 50.81
"Homme" "Médicale" "1" 4939 13.3 11.84 13.3 343.09
"Homme" "Médicale" "1" 719 1.67 7.37 7.93 227.61
"Femme" "Mixte" "1" 4229 8.02 14.83 29.23 345.62
"Femme" "Médicale" "1" 1324 4.98 12.08 10.8 54.22
"Homme" "Mixte" "1" 2422 20.31 13.46 19.12 96.92
"Femme" "Médicale" "1" 217 0 10.6 6.91 68.92
"Homme" "Médicale" "1" 5799 6.71 14.74 22.5 608.62
"Homme" "Mixte" "2" 2636 11.53 12.75 20.64 123.81
"Homme" "Médicale" "1" 1679 2.86 22.63 29.3 160.26
"Homme" "Médicale" "1" 801 1.75 18.6 27.72 60.85
"Femme" "Médicale" "1" 433 13.86 8.55 11.09 38.36
"Femme" "Mixte" "1" 2528 1.54 6.17 2.25 89.79
"Homme" "Mixte" "1" 5254 13.93 12.89 19.01 154.33
"Homme" "Mixte" "1" 2236 3.58 3.67 3.89 228.36
"Femme" "Médicale" "1" 373 0.27 2.14 5.09 133.32
"Homme" "Médicale" "1" 1541 0.97 22.71 48.86 289.02
"Homme" "Chirurgicale" "1" 997 17.25 11.23 22.57 105.78
"Femme" "Médicale" "1" 302 0 17.88 56.95 36.63
"Femme" "Mixte" "1" 2705 1.48 13.86 5.36 89.14
"Homme" "Mixte" "1" 4400 11.82 15.86 21.91 182.29
"Femme" "Mixte" "1" 993 2.11 3.02 1.81 40.45
"Homme" "Médicale" "1" 1612 3.23 13.9 21.03 134.64
"Femme" "Médicale" "1" 837 1.67 17.8 19.59 57.53
"Homme" "Médicale" "1" 1083 1.02 18.19 37.67 82.78
"Femme" "Médicale" "1" 1243 2.33 29.61 38.05 225.47
"Homme" "Médicale" "2" 32 9.38 3.13 0 12.44
"Homme" "Médicale" "1" 105 7.62 3.81 2.86 51.67
"Homme" "Mixte" "1" 2419 1.57 4.55 3.27 124.16
"Femme" "Médicale" "1" 1783 28.38 4.94 5.61 53.25
"Homme" "Médicale" "1" 2835 1.16 22.61 35.94 220.76
"Femme" "Médicale" "1" 2660 9.47 12.56 15.45 149.64
"Femme" "Médicale" "1" 618 2.59 15.86 52.75 91.98
"Homme" "Médicale" "1" 22 0 18.18 50 0.82
"Femme" "Médicale" "1" 1288 79.66 0.16 0.7 71.74
"Femme" "Mixte" "1" 4588 15.87 9.94 15.61 151.77
"Femme" "Mixte" "2" 1750 1.14 16.23 5.37 70.99
"Femme" "Mixte" "1" 474 38.19 6.54 4.43 28.97
"Homme" "Mixte" "2" 863 25.49 13.09 16.57 57.24
"Homme" "Médicale" "1" 2098 80.17 0.1 0.81 140.03
"Homme" "Chirurgicale" "1" 577 12.82 13.69 23.4 38.76
"Femme" "Mixte" "1" 2343 1.45 9.82 5.68 104.17
"Femme" "Médicale" "1" 3007 18.16 7.05 7.15 190.31
"Homme" "Médicale" "1" 575 34.96 2.43 2.26 119.6
"Femme" "Mixte" "1" 2400 2.79 4.92 2.29 96.75
"Femme" "Médicale" "2" 2186 9.88 6.45 9.74 110.66
"Femme" "Mixte" "1" 777 18.92 28.57 18.66 88.81
"Femme" "Médicale" "2" 573 78.71 0 0.7 55.48
"Homme" "Médicale" "1" 1531 13.98 10.78 14.7 101.98
"Homme" "Médicale" "1" 280 9.64 3.21 3.21 80.51
"Homme" "Médicale" "1" 1269 77.54 0.08 0.71 93.77
"Homme" "Mixte" "2" 2142 10.04 15.64 41.04 306.78
"Femme" "Médicale" "1" 1074 78.58 0 0.28 66.57
"Homme" "Médicale" "1" 777 2.96 21.36 30.37 71.84
"Homme" "Médicale" "1" 1706 74.03 0.18 0.88 96.51
"Femme" "Médicale" "1" 347 19.88 4.03 2.88 21.8
"Homme" "Médicale" "1" 2356 1.32 18.34 38.62 230.69
"Homme" "Médicale" "1" 208 17.79 1.44 0.96 52.23
"Homme" "Médicale" "1" 7306 1.81 16.38 26.96 547.29
"Homme" "Mixte" "2" 3555 7.85 13.64 24.3 253.51
"Femme" "Médicale" "1" 1834 5.29 9.98 9.81 63.73
"Homme" "Médicale" "1" 1218 3.04 15.85 35.3 118.45
"Homme" "Médicale" "1" 307 3.26 3.26 3.26 63.82
"Femme" "Médicale" "1" 1593 23.41 9.1 13.56 74.82
"Homme" "Mixte" "1" 2115 11.73 12.91 15.65 141.23
"Homme" "Chirurgicale" "2" 2219 0.63 7.21 6.94 225.8
"Homme" "Médicale" "1" 1088 4.04 15.72 18.93 126.9
"Femme" "Mixte" "1" 3398 21.69 7.83 9.06 112.23
"Homme" "Médicale" "1" 1027 0.29 12.37 5.84 177.42
"Homme" "Médicale" "1" 781 1.15 10.5 9.73 243.54
"Homme" "Chirurgicale" "2" 1106 12.84 9.76 21.7 109.26
"Femme" "Médicale" "1" 174 35.63 1.72 10.34 40.2
"Homme" "Médicale" "1" 1070 2.52 15.61 37.57 111.72
"Femme" "Médicale" "1" 2949 16.85 10.78 10.34 216.19
"Homme" "Chirurgicale" "1" 1146 14.66 10.99 15.27 161.24
"Homme" "Médicale" "1" 2233 15.14 14.6 26.06 309.49
"Homme" "Médicale" "1" 2862 0.8 22.92 44.3 247.39
"Femme" "Médicale" "1" 1518 79.97 0.07 0.46 94.45
"Femme" "Médicale" "1" 1057 3.6 16.56 23.65 38.28
"Femme" "Médicale" "1" 6218 12.72 12.98 17.34 390.42
"Homme" "Médicale" "1" 8219 12.52 9.6 15.93 680.97
"Femme" "Mixte" "1" 1887 24.01 9.59 10.44 64.13
"Femme" "Mixte" "2" 4304 16.38 11.41 15.78 165.73
"Homme" "Médicale" "1" 4199 20.7 6.53 6.12 202.8
"Femme" "Médicale" "1" 2373 23.01 7.96 7.12 84.95
"Homme" "Chirurgicale" "2" 981 7.85 18.35 32.93 210.78
"Femme" "Mixte" "1" 3819 20.32 6.81 8.75 115.64
"Homme" "Médicale" "1" 5005 10.45 16.1 19.56 355.07
"Homme" "Médicale" "1" 2199 23.47 11.41 12.37 125.13
"Homme" "Médicale" "1" 2303 0.56 23.53 44.59 156.8
"Femme" "Médicale" "1" 740 4.32 9.05 8.11 32.84
"Homme" "Médicale" "1" 1855 0.97 23.61 40.27 129.28
